metric_name	Entire Run	50918036C_HPSID_002_L1	50918124C_HPSID_004_L1	50918402C_HPSID_005_L1	50918538C_HPSID_006_L1	50918870C_HPSID_007_L1	50918871C_HPSID_008_L1	50918872C_HPSID_010_L1	50918873C_HPSID_011_L1	50919226C_HPSID_012_L1	50919228C_HPSID_013_L1	50919229C_HPSID_014_L1	50919232C_HPSID_015_L1	50919286C_HPSID_016_L1	50919291C_HPSID_017_L1	50919762C_HPSID_018_L1	50919764C_HPSID_019_L1	50919765C_HPSID_020_L1	50921887C_HPSID_021_L1	50921888C_HPSID_022_L1	50921890C_HPSID_023_L1	50921891C_HPSID_024_L1	50921894C_HPSID_025_L1	50922308C_HPSID_026_L1	50922842C_HPSID_027_L1	50922843C_HPSID_028_L1	50922845C_HPSID_029_L1	50923318C_HPSID_030_L1	50923325C_HPSID_031_L1	50923326C_HPSID_032_L1	50923328C_HPSID_033_L1	50923756C_HPSID_034_L1	50923758C_HPSID_035_L1	50923759C_HPSID_036_L1	50923760C_HPSID_037_L1	50923762C_HPSID_038_L1	50924230C_HPSID_039_L1	50924575C_HPSID_042_L1	50924582C_HPSID_043_L1	50924600C_HPSID_044_L1	50925090C_HPSID_046_L1	50925091C_HPSID_047_L1	50925093C_HPSID_048_L1	50925096C_HPSID_050_L1	50925512C_HPSID_051_L1	50925513C_HPSID_052_L1	50925514C_HPSID_053_L1
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/15/low_quality_reads	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/15/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/15/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/15/percentage_discordant	NA	NA	NA	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/15/percentage_effective	NA	NA	NA	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/15/percentage_low_quality	NA	NA	NA	NA	100.000000%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/15/percentage_spanning	NA	NA	NA	NA	100.000000%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/15/phred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/15/spanning_reads	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/15/total_reads	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/deletion_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/discordant_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/effective_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/hp_count	NA	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/indel_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/insertion_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/low_quality_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/percentage_discordant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/percentage_effective	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/percentage_low_quality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/percentage_spanning	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/phred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/spanning_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/16/total_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/deletion_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/discordant_reads	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/effective_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/hp_count	NA	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/indel_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/insertion_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/low_quality_reads	NA	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/percentage_discordant	NA	0.000000%	0.000000%	NA	NA	NA	NA	NA	0.000000%	NA	NA	100.000000%	NA	NA	NA	NA	0.000000%	100.000000%	NA	NA	NA	NA	0.000000%	0.000000%	NA	NA	0.000000%	NA	0.000000%	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	100.000000%	NA	0.000000%	0.000000%	NA	NA	NA	0.000000%	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/percentage_effective	NA	0.000000%	0.000000%	NA	NA	NA	NA	NA	0.000000%	NA	NA	0.000000%	NA	NA	NA	NA	0.000000%	0.000000%	NA	NA	NA	NA	0.000000%	0.000000%	NA	NA	0.000000%	NA	0.000000%	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	0.000000%	NA	0.000000%	0.000000%	NA	NA	NA	0.000000%	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/percentage_low_quality	NA	100.000000%	0.000000%	NA	NA	NA	NA	NA	0.000000%	NA	NA	100.000000%	NA	NA	NA	NA	0.000000%	100.000000%	NA	NA	NA	NA	0.000000%	0.000000%	NA	NA	50.000000%	NA	0.000000%	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	100.000000%	NA	0.000000%	0.000000%	NA	NA	NA	0.000000%	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/percentage_spanning	NA	100.000000%	0.000000%	NA	NA	NA	NA	NA	0.000000%	NA	NA	100.000000%	NA	NA	NA	NA	0.000000%	100.000000%	NA	NA	NA	NA	0.000000%	0.000000%	NA	NA	50.000000%	NA	0.000000%	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	100.000000%	NA	0.000000%	0.000000%	NA	NA	NA	0.000000%	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/phred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/spanning_reads	NA	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/17/total_reads	NA	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/deletion_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/discordant_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/effective_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/hp_count	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/indel_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/insertion_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/low_quality_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/percentage_discordant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/percentage_effective	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/percentage_low_quality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/percentage_spanning	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/phred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/spanning_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/18/total_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/19/deletion_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/19/discordant_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/19/effective_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/19/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/19/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/19/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/19/hp_count	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/19/indel_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/19/insertion_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/19/low_quality_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/19/mean_effective_coverage	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/19/mean_spanning_coverage	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/19/percentage_discordant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/19/percentage_effective	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/19/percentage_low_quality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_high_confidence/accuracy/hp_errors/G/19/percentage_spanning	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
