metric_name	Entire Run	50918036C_HPSID_002_L1	50918124C_HPSID_004_L1	50918402C_HPSID_005_L1	50918538C_HPSID_006_L1	50918870C_HPSID_007_L1	50918871C_HPSID_008_L1	50918872C_HPSID_010_L1	50918873C_HPSID_011_L1	50919226C_HPSID_012_L1	50919228C_HPSID_013_L1	50919229C_HPSID_014_L1	50919232C_HPSID_015_L1	50919286C_HPSID_016_L1	50919291C_HPSID_017_L1	50919762C_HPSID_018_L1	50919764C_HPSID_019_L1	50919765C_HPSID_020_L1	50921887C_HPSID_021_L1	50921888C_HPSID_022_L1	50921890C_HPSID_023_L1	50921891C_HPSID_024_L1	50921894C_HPSID_025_L1	50922308C_HPSID_026_L1	50922842C_HPSID_027_L1	50922843C_HPSID_028_L1	50922845C_HPSID_029_L1	50923318C_HPSID_030_L1	50923325C_HPSID_031_L1	50923326C_HPSID_032_L1	50923328C_HPSID_033_L1	50923756C_HPSID_034_L1	50923758C_HPSID_035_L1	50923759C_HPSID_036_L1	50923760C_HPSID_037_L1	50923762C_HPSID_038_L1	50924230C_HPSID_039_L1	50924575C_HPSID_042_L1	50924582C_HPSID_043_L1	50924600C_HPSID_044_L1	50925090C_HPSID_046_L1	50925091C_HPSID_047_L1	50925093C_HPSID_048_L1	50925096C_HPSID_050_L1	50925512C_HPSID_051_L1	50925513C_HPSID_052_L1	50925514C_HPSID_053_L1
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/deletion_error_rate	NA	NA	NA	0.000000%	0.000000%	0.000000%	NA	NA	NA	33.333333%	NA	0.000000%	NA	NA	20.000000%	0.000000%	NA	0.000000%	33.333333%	NA	NA	18.750000%	33.333333%	0.000000%	NA	17.391304%	NA	0.000000%	0.000000%	NA	NA	NA	NA	0.000000%	NA	NA	NA	46.153846%	NA	NA	0.000000%	18.750000%	NA	NA	NA	0.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/discordant_reads	NA	1	2	2	4	4	2	4	11	21	2	2	5	0	14	0	5	5	5	1	4	8	1	1	1	10	1	1	12	2	15	1	2	3	6	2	1	7	3	0	7	15	3	11	1	7	2
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/effective_reads	NA	0	0	1	1	1	0	0	0	21	0	1	0	0	5	1	0	4	3	0	0	16	3	2	0	23	0	1	15	0	0	0	0	1	0	0	0	13	0	0	2	16	0	0	0	1	1
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	1	0	0	3	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/effective_reads_with_substitution	NA	0	0	0	1	0	0	0	0	9	0	0	0	0	3	0	0	0	1	0	0	2	2	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/hp_count	NA	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765	58765
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/indel_error_rate	NA	NA	NA	0.000000%	0.000000%	0.000000%	NA	NA	NA	33.333333%	NA	0.000000%	NA	NA	20.000000%	0.000000%	NA	0.000000%	33.333333%	NA	NA	18.750000%	33.333333%	0.000000%	NA	30.434783%	NA	0.000000%	0.000000%	NA	NA	NA	NA	0.000000%	NA	NA	NA	53.846154%	NA	NA	0.000000%	37.500000%	NA	NA	NA	0.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/insertion_error_rate	NA	NA	NA	0.000000%	0.000000%	0.000000%	NA	NA	NA	0.000000%	NA	0.000000%	NA	NA	0.000000%	0.000000%	NA	0.000000%	0.000000%	NA	NA	0.000000%	0.000000%	0.000000%	NA	13.043478%	NA	0.000000%	0.000000%	NA	NA	NA	NA	0.000000%	NA	NA	NA	7.692308%	NA	NA	0.000000%	18.750000%	NA	NA	NA	0.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/11/low_quality_reads	NA	4	4	6	8	9	5	9	24	48	9	6	9	5	20	7	8	13	11	5	13	15	9	6	9	25	7	3	25	10	21	9	7	10	11	5	3	24	12	3	9	32	9	15	7	12	13
